,Cd79a,Cx3cr1,Il10,Il10ra,Dataset
769,2188.237,2150.7056,2545.194,3932.3513000000003,Infected
773,0.0,862.0417,0.0,2042.9745,Infected
775,0.0,725.5573,0.0,648.4031,Infected
784,907.7,984.9673,2003.9922,1750.9215,Infected
794,0.0,1539.6412,2801.8283,735.7019,Infected
796,0.0,1941.9979,0.0,1820.2255,Infected
799,811.2,780.6316,0.0,747.8468,Infected
803,0.0,1930.1358,0.0,862.6163,Infected
805,0.0,1100.1698,1246.4973,1510.3389,Infected
809,0.0,1830.8278,940.3445,1938.255,Infected
810,0.0,3726.1962,0.0,2777.3324000000002,Infected
812,0.0,3605.9076999999997,0.0,4776.581700000001,Infected
813,0.0,2633.4182,0.0,1746.8724,Infected
816,0.0,2450.1077999999998,0.0,646.1852,Infected
817,0.0,2502.7113,0.0,2211.0029,Infected
818,1307.5804,4080.5614,6051.7307,794.5905,Infected
827,0.0,2488.4595999999997,3011.5417,4105.1579,Infected
829,0.0,838.4332,0.0,1144.6827,Infected
830,0.0,814.071,1155.8502,1495.9274,Infected
840,0.0,4162.3242,0.0,1664.1683,Infected
842,1280.1269000000002,2625.3968,0.0,780.1909,Infected
849,0.0,1723.6871999999998,2721.4478,5199.517400000001,Infected
850,0.0,2691.5508,0.0,1278.4596,Infected
851,0.0,1625.2432,0.0,1783.5848,Infected
852,0.0,1966.7833999999998,1687.375,2456.2653999999998,Infected
855,0.0,804.3811,1202.251,2268.6495,Infected
856,0.0,5075.9056,2939.8522000000003,2070.7529,Infected
860,0.0,1738.3013999999998,1610.578,1916.2939000000001,Infected
861,0.0,2244.2287,1962.8562,1734.2892000000002,Infected
862,642.8486,753.9426,0.0,2025.3986,Infected
864,0.0,4274.5496,0.0,3258.3193,Infected
867,1212.3556,1962.3677000000002,2389.7165999999997,4019.7027999999996,Infected
868,0.0,1523.7953,0.0,683.8677,Infected
870,0.0,912.8731,3782.7781999999997,1567.2145,Infected
875,13726.843900000002,2308.6841,4695.9858,2909.8363,Infected
877,0.0,1107.3601,4204.8868,5181.4071,Infected
879,0.0,841.0357,0.0,1968.516,Infected
880,0.0,3625.5757000000003,2160.3357,1137.8646,Infected
888,0.0,6352.386,0.0,703.4767,Infected
895,1356.2545,792.4872,2241.8057,1517.5193,Infected
896,0.0,1602.7253,3374.3572999999997,727.343,Infected
897,0.0,737.7349,1130.4464,994.2609,Infected
900,0.0,1605.1685,0.0,803.4863,Infected
901,0.0,3099.0243,1655.944,3172.5288,Infected
908,1362.0037,1758.6294,1622.6577,2989.4591,Infected
916,2445.4323999999997,1269.3759,791.2672,1986.3616,Infected
925,1328.0435,4866.9617,866.5481,796.2951,Infected
948,0.0,1405.0443,5877.6073,644.7193,Infected
949,2525.2846,1445.301,944.1414,643.8793,Infected
956,1907.0061,1425.24,2436.0419,651.9565,Infected
960,0.0,1371.2562,4915.6636,4523.0842,Infected
962,1864.5131000000001,1051.8131,4578.8342,5185.5801,Infected
977,1116.411,1038.9117,755.5035,698.8762,Infected
980,1523.5964,1755.6538,745.7105,1845.5647,Infected
983,0.0,1007.1954,0.0,3109.2826,Infected
987,0.0,1718.2233,810.9,692.8364,Infected
992,873.4112,1626.1857,855.9333,4531.7735999999995,Infected
1002,2307.0861999999997,4361.7778,0.0,616.9597,Infected
1003,841.1072,3562.5807999999997,0.0,1245.0333999999998,Infected
1004,1805.6263,1549.4454,3005.9786,644.0336,Infected
1005,3746.1668,2705.0254,1663.2539,1321.4688,Infected
1009,0.0,1493.411,826.559,720.4181,Infected
1029,695.697,1020.1739,1704.5434,684.905,Infected
1110,0.0,1446.3179,0.0,1987.3641,Infected
1121,0.0,747.4622,3450.4094999999998,2175.6013999999996,Infected
1205,656.4648,9847.1148,0.0,1367.6195,Infected
1225,685.5809,1762.6538,763.2381,1297.9694,Infected
1241,0.0,1969.0205,1603.1255,1006.9481,Infected
1253,0.0,2610.1157,0.0,1157.6639,Infected
1288,0.0,1520.5365000000002,0.0,1360.3622,Infected
1300,0.0,2465.0870999999997,6131.7421,1693.7623,Infected
1304,0.0,2578.7097,4075.312,1261.7241,Infected
1317,0.0,1659.7237,0.0,1279.4553,Infected
1395,0.0,1380.1624,0.0,789.9368,Infected
1401,0.0,1254.0265,0.0,812.7433,Infected
1412,679.887,1846.5649,0.0,966.728,Infected
1431,0.0,3955.9214,0.0,934.5168,Infected
1463,0.0,1293.4259,0.0,790.6562,Infected
1466,0.0,1447.9307,0.0,872.1838,Infected
1515,0.0,690.3125,2006.74,990.0182,Infected
1521,0.0,1874.0322,0.0,957.6187,Infected
1524,0.0,831.9554,0.0,3366.1706999999997,Infected
1525,0.0,1323.6897,3517.3531000000003,929.0138,Infected
1530,0.0,4463.9602,0.0,864.4771,Infected
1532,0.0,2895.4674999999997,5421.881200000001,3757.3660999999997,Infected
1533,0.0,736.5693,632.4816,996.9528,Infected
1566,0.0,2565.1001,7829.605500000001,3698.8557,Infected
1569,0.0,2037.2899000000002,3164.6446,1983.886,Infected
1613,0.0,2056.1949999999997,1764.1992,1069.7074,Infected
1667,0.0,2148.4812,4817.5866000000005,2676.8922000000002,Infected
1670,0.0,3081.9303999999997,671.2277,1377.4445,Infected
1676,0.0,1646.6906,1897.7205,830.8115,Infected
1680,0.0,1697.2325,630.6199,1023.15,Infected
1683,0.0,4545.7428,0.0,2025.6697,Infected
1786,0.0,2871.7722,962.2357,1329.0708,Infected
1788,0.0,2977.7237000000005,0.0,1251.8008,Infected
1792,0.0,4288.8315,0.0,1425.8208,Infected
1796,0.0,1512.6843,0.0,637.7795,Infected
1798,1246.7433,4122.7218,0.0,2768.9929,Infected
1805,0.0,1424.9076,0.0,663.8812,Infected
1807,1197.224,1372.8854999999999,0.0,762.007,Infected
1809,0.0,800.8633,0.0,688.973,Infected
1810,0.0,647.4034,0.0,1536.605,Infected
1814,0.0,788.38,0.0,668.5736,Infected
1826,0.0,638.4179,0.0,581.2756,Infected
1827,0.0,601.2013,0.0,540.7023,Infected
1828,2099.888,607.127,0.0,3483.855,Infected
1832,2841.1185,1285.3671,0.0,3737.4496000000004,Infected
1834,0.0,864.7006,0.0,1882.1812,Infected
1837,0.0,1725.5799,712.2209,2068.0861999999997,Infected
1854,0.0,3071.3788999999997,0.0,956.0623,Infected
1856,0.0,4494.7127,0.0,902.4759,Infected
1860,0.0,2346.8022,966.2318,1155.2787,Infected
1866,0.0,1592.792,0.0,924.9796,Infected
1867,0.0,2061.5017,1419.5067,1587.0551,Infected
1892,0.0,3994.9773,0.0,2962.7226,Infected
1905,0.0,735.6884,0.0,1117.5319,Infected
1909,0.0,3409.3377,0.0,1338.1498,Infected
1910,845.8582,4073.2658999999994,0.0,1892.9344,Infected
1913,0.0,1060.4686,0.0,5121.3309,Infected
1921,0.0,2516.4099,0.0,1417.1359,Infected
1949,0.0,1361.4299,0.0,1036.9457,Infected
1956,0.0,1580.2564,0.0,706.058,Infected
1971,0.0,2891.3388999999997,0.0,1154.465,Infected
1974,0.0,2495.8063,0.0,841.7029,Infected
1975,0.0,3289.243,0.0,1417.4568,Infected
1982,0.0,2216.7947,0.0,1651.0586,Infected
2021,0.0,6004.7705000000005,0.0,615.6548,Infected
2024,0.0,1529.5972000000002,0.0,3257.802,Infected
2025,0.0,1351.0351999999998,866.6496,1205.6072,Infected
2029,0.0,1393.9159,1118.5969,1927.7385,Infected
2032,0.0,724.1948,0.0,729.6036,Infected
2036,0.0,822.4309,0.0,2453.8718,Infected
2038,1432.1469000000002,4791.665599999999,0.0,2127.3293,Infected
2042,654.6118,6918.8194,0.0,691.6139,Infected
2044,0.0,672.7522,0.0,1536.7024,Infected
2046,806.3937,6046.2564999999995,0.0,633.2599,Infected
2047,0.0,3245.6677999999997,0.0,1712.0491,Infected
2048,691.2574,677.8906,0.0,1218.8302,Infected
2049,0.0,1323.1041,0.0,628.2185,Infected
